time,lAnkle/0,lAnkle/1,lAnkle/2,lEar/0,lEar/1,lEar/2,lElbow/0,lElbow/1,lElbow/2,lEye/0,lEye/1,lEye/2,lHip/0,lHip/1,lHip/2,lKnee/0,lKnee/1,lKnee/2,lShoulder/0,lShoulder/1,lShoulder/2,lWrist/0,lWrist/1,lWrist/2,neck/0,neck/1,neck/2,nose/0,nose/1,nose/2,rAnkle/0,rAnkle/1,rAnkle/2,rEar/0,rEar/1,rEar/2,rElbow/0,rElbow/1,rElbow/2,rEye/0,rEye/1,rEye/2,rHip/0,rHip/1,rHip/2,rKnee/0,rKnee/1,rKnee/2,rShoulder/0,rShoulder/1,rShoulder/2,rWrist/0,rWrist/1,rWrist/2
-1.53881,1.784321135,59.81308913,1.277588098,1.203217372,59.92219251,6.476137064,0.414643689,59.20748045,6.671464526,0.92648758,60.06363795,6.458823252,1.140555755,59.8693137,4.322560749,1.055263637,59.78837977,2.592207174,1.145991917,59.4083201,5.861311433,1.050917999,59.69213207,6.907928604,1.295886616,60.098616,5.93130838,0.854817835,60.12572284,6.450989845,0.742356072,60.35722657,1.143149076,1.159802735,60.38863966,6.414959691,1.077640401,61.02928729,6.864247833,0.913824977,60.19968503,6.440979851,1.088306055,60.45620369,4.311711809,0.624890301,60.39728983,2.641464825,1.481737764,60.77759275,5.861777659,1.280432296,60.22033284,6.853876602
-1.535475,1.773462823,59.81041199,1.285950556,1.194507892,59.92406253,6.476537387,0.407122255,59.21087512,6.668185618,0.9159261,60.06124153,6.455088261,1.134293532,59.87122043,4.325807068,1.033030942,59.78702223,2.592882561,1.140765469,59.41238833,5.863051133,1.044020204,59.69586644,6.911244545,1.292623702,60.10209197,5.933186728,0.843435456,60.12221969,6.44618777,0.740779835,60.35589496,1.142089502,1.14484629,60.3898094,6.414779558,1.071397283,61.03218795,6.861699741,0.901441466,60.19708436,6.43707556,1.091311949,60.45879093,4.311626376,0.622939102,60.39432526,2.639249832,1.481500925,60.78005318,5.864022014,1.276533561,60.22111267,6.860632334
-1.532144,1.762328095,59.80820634,1.294795243,1.184335803,59.92486283,6.476323094,0.399825905,59.21445182,6.664845606,0.904178472,60.05795514,6.450164652,1.128032549,59.87275367,4.328945875,1.010100028,59.78549854,2.593641243,1.135803576,59.41597788,5.864629552,1.037435397,59.6998069,6.914067553,1.289313314,60.10513644,5.934998532,0.830962914,60.11787212,6.440070792,0.73927773,60.3544808,1.141221959,1.128896219,60.38992004,6.414285283,1.065707663,61.03481807,6.859430429,0.888008594,60.19359683,6.432070291,1.094843722,60.4608698,4.311466707,0.620704945,60.39164609,2.637189053,1.480850152,60.78217964,5.866209239,1.271989158,60.22142167,6.86671785
-1.528812,1.751107192,59.80651752,1.304229249,1.173085177,59.92486066,6.475657654,0.392864933,59.2181006,6.661582018,0.891619823,60.05402642,6.444362001,1.121709109,59.87396208,4.332055719,0.986638953,59.78385011,2.594557007,1.131136837,59.41915278,5.866156877,1.031191669,59.70394633,6.916588079,1.285903876,60.10783796,5.936823376,0.81776779,60.11292208,6.43297661,0.737885442,60.35321318,1.140565997,1.11224396,60.3892252,6.413493689,1.060279875,61.03724607,6.8574758,0.873874468,60.18946608,6.426230844,1.098772287,60.46246158,4.3113232,0.618260531,60.38935985,2.63530651,1.479646253,60.78409307,5.868410596,1.266684889,60.22133831,6.87225717
-1.525479,1.739953793,59.80535053,1.314311338,1.161130433,59.92428577,6.474700073,0.386325076,59.22171956,6.65850511,0.878613227,60.04967812,6.438002061,1.115285067,59.87489381,4.335197495,0.962829703,59.78210103,2.595684849,1.126790464,59.42196399,5.867723578,1.025298484,59.70826389,6.918976641,1.282351308,60.11026891,5.938727217,0.804206607,60.10758999,6.425261639,0.736643401,60.35225733,1.140130607,1.095199051,60.38794458,6.412458566,1.05486085,61.03952602,6.855865263,0.859383241,60.18491194,6.419848288,1.10299037,60.46359073,4.311273128,0.615702922,60.38756279,2.633617159,1.477770995,60.78589457,5.870686974,1.260523336,60.2209356,6.877365204
-1.522145,1.728968571,59.80466859,1.325063174,1.148819841,59.92333945,6.473611398,0.380256112,59.22522327,6.655692301,0.865487944,60.04511147,6.431414628,1.108739721,59.87560072,4.338419227,0.938834789,59.78025987,2.597063251,1.122777213,59.42445848,5.869403226,1.019734757,59.71273445,6.921389137,1.278614673,60.11249321,5.940764997,0.790601293,60.10207673,6.417293814,0.735591835,60.35171765,1.139912572,1.078064752,60.38627331,6.411270388,1.049225777,61.04170544,6.854617647,0.844851044,60.18013385,6.413231833,1.107418076,60.46428974,4.311380414,0.61314952,60.3863356,2.632124201,1.475127184,60.78767079,5.873091829,1.253418887,60.22028391,6.882157928
-1.518812,1.718205876,59.80439751,1.336461351,1.13647949,59.92220169,6.472556905,0.374675562,59.22854459,6.65318896,0.852542548,60.04051585,6.424938311,1.102075306,59.87613919,4.341753813,0.914811273,59.77832554,2.598714655,1.119100554,59.42668078,5.87125148,1.014451182,59.71733005,6.923965164,1.274659261,60.11456752,5.942978891,0.777242253,60.09657395,6.409452713,0.734767913,60.35164352,1.139896649,1.061144637,60.38439037,6.410053047,1.043181519,61.04382731,6.853741073,0.830569882,60.17532088,6.406708019,1.112001774,60.4645995,4.311695143,0.610738123,60.38574431,2.630820689,1.471641335,60.78949435,5.875668826,1.245303383,60.21945318,6.886749036
-1.515479,1.707658589,59.80443069,1.348453223,1.124392607,59.92103649,6.47170284,0.369560872,59.23164362,6.651004004,0.840023266,60.03606863,6.418904716,1.095308586,59.87657189,4.345223666,0.89087455,59.77628983,2.600649429,1.115750085,59.42867907,5.873308991,1.009361952,59.72203086,6.926831522,1.270451624,60.11654687,5.945401037,0.76436598,60.09126255,6.402110243,0.734200573,60.35203591,1.140055785,1.044713461,60.38246293,6.408954772,1.036557854,61.04593668,6.85323036,0.816783515,60.17065134,6.400603196,1.116722596,60.4645702,4.312253585,0.608621694,60.38584017,2.629688406,1.467259619,60.79142853,5.878454513,1.236115246,60.21851393,6.891256004
-1.512146,1.697273471,59.80463629,1.360943545,1.112814593,59.92000004,6.471214224,0.364858017,59.23450694,6.649113257,0.828141237,60.03194728,6.413639456,1.08848019,59.87696781,4.34883668,0.867127555,59.7741454,2.602866071,1.112707673,59.43050475,5.875599958,1.004351562,59.72682379,6.930099421,1.265964821,60.11848455,5.94805073,0.752173067,60.08632579,6.395632145,0.733907986,60.35285613,1.140351889,1.029035743,60.38065524,6.40814015,1.029213856,61.04808151,6.853067204,0.803705739,60.16630504,6.395242851,1.121592799,60.46426029,4.313077916,0.606970316,60.38666289,2.628700689,1.461951356,60.79352732,5.881474241,1.22580804,60.2175408,6.895793396
-1.508813,1.686950558,59.8048637,1.373797148,1.10197156,59.91924741,6.471249577,0.360480867,59.23715205,6.647458644,0.817072908,60.02833384,6.409452593,1.081654152,59.87740324,4.352586952,0.843654305,59.77189133,2.605353296,1.109947412,59.43221563,5.878133267,0.999273213,59.73170752,6.933865158,1.261178218,60.1204354,5.950934516,0.740828833,60.08195314,6.390366999,0.733893281,60.35403445,1.140736318,1.014359995,60.37913448,6.407778785,1.02103612,61.05031723,6.853217828,0.791519535,60.16246757,6.390940278,1.126658597,60.46373659,4.314175999,0.605969389,60.38824199,2.627822847,1.455709065,60.79583857,5.884741323,1.214348748,60.21661576,6.90047329
-1.505478,1.67653998,59.80495066,1.386846722,1.092058747,59.9189387,6.471955749,0.356309991,59.23963195,6.645947516,0.806961258,60.02541822,6.406629718,1.074915326,59.87796281,4.3564569,0.820507078,59.76953787,2.608093347,1.10743532,59.43387919,5.880905004,0.99394549,59.73669901,6.938212696,1.256075241,60.12245972,5.954047538,0.730464938,60.07834282,6.386636007,0.734140919,60.35548071,1.141150927,1.00091202,60.37807559,6.408033653,1.011932989,61.05271239,6.853630894,0.780376796,60.15933315,6.387985774,1.132004874,60.46307336,4.31554205,0.605818913,60.39060034,2.627012471,1.448544738,60.79840838,5.888257355,1.201709941,60.21583186,6.905407113
-1.502147,1.665876668,59.80473076,1.399854106,1.08327432,59.91924476,6.473458376,0.35220624,59.24203089,6.644457351,0.797953675,60.02340965,6.405430706,1.068390616,59.87873808,4.36040527,0.79777636,59.7671199,2.611054871,1.105137547,59.43556974,5.883890648,0.988168578,59.74182174,6.943199105,1.250660024,60.12461974,5.957363154,0.721218691,60.0757147,6.384733539,0.734611847,60.35709025,1.14152799,0.988935582,60.37766792,6.409046746,1.001863374,61.05534579,6.854233006,0.77043821,60.1571164,6.386643981,1.137739802,60.46235391,4.317151913,0.606731566,60.39374767,2.626222446,1.44051357,60.80127606,5.891999083,1.187909337,60.21530016,6.910688907
-1.498815,1.65472363,59.8040414,1.412586224,1.075772101,59.92035153,6.475860996,0.347988638,59.2444812,6.642827607,0.790157389,60.02252489,6.406069889,1.06221192,59.87983144,4.364389196,0.775460955,59.76468956,2.614210358,1.103007424,59.43738003,5.887062242,0.9816924,59.747138,6.948879541,1.244928417,60.12699426,5.960850264,0.713187839,60.07429419,6.384902071,0.735241943,60.35876434,1.141794216,0.97862233,60.37811375,6.410929372,0.990782912,61.05832569,6.854928145,0.761822039,60.15603887,6.387131498,1.144026891,60.46166571,4.318971208,0.608933001,60.39769764,2.62539692,1.431671985,60.8044929,5.895936373,1.172934779,60.21515156,6.916422346
-1.495486,1.642838435,59.80273352,1.424740003,1.069723367,59.92246303,6.479230222,0.34346104,59.24715164,6.640869194,0.783706612,60.02300383,6.408718372,1.056555994,59.88135196,4.368340551,0.753606202,59.76233692,2.617519917,1.101000312,59.43941312,5.890371687,0.974249885,59.75272201,6.955276163,1.238900657,60.12966888,5.964452687,0.706499969,60.0743311,6.387338619,0.73593647,60.36041392,1.14187093,0.970189615,60.37963377,6.413744423,0.978703259,61.0617798,6.855590611,0.754675934,60.15634529,6.389618348,1.151051194,60.46110364,4.320945939,0.612656295,60.40245176,2.624476526,1.422125127,60.80810911,5.900007178,1.156824623,60.21554707,6.92268722
-1.492153,1.629227723,59.80191327,1.437388645,1.064597826,59.92630701,6.482549192,0.339350304,59.24869792,6.640855708,0.778217244,60.02502995,6.410953791,1.048239909,59.88316568,4.372634071,0.73281494,59.75956893,2.623708403,1.098573694,59.44160339,5.894440007,0.966584356,59.75623985,6.961565411,1.234027708,60.13292272,5.967617549,0.700783277,60.07585902,6.389209042,0.736767097,60.36315973,1.14377693,0.962683839,60.38271446,6.41542077,0.965984327,61.0639584,6.855285011,0.748492331,60.15814879,6.391374668,1.154540822,60.46063765,4.322495918,0.614840952,60.4045551,2.625707662,1.415407392,60.81242636,5.903678864,1.143870584,60.21728533,6.928555554
-1.488816,1.614954877,59.79984914,1.449791707,1.06018658,59.93076395,6.486071364,0.335748561,59.24969545,6.640489124,0.773415046,60.02807123,6.414103743,1.040607405,59.88523573,4.376328753,0.711400764,59.75698634,2.62965118,1.095983484,59.44358184,5.897580616,0.958252526,59.75989367,6.968505015,1.228764575,60.13595984,5.970293078,0.695780399,60.0785075,6.392160796,0.73798076,60.36571167,1.144792223,0.956475795,60.38649253,6.417107722,0.952717882,61.0647399,6.855047268,0.743166067,60.16099207,6.393989348,1.158770665,60.4601606,4.323542026,0.618686022,60.40711857,2.626131022,1.4079781,60.81661728,5.90706522,1.129258732,60.21730522,6.93306581
-1.485483,1.599781406,59.79676186,1.461799706,1.056694548,59.93553423,6.489721465,0.332585838,59.25051853,6.639829788,0.769475331,60.03173472,6.418051769,1.033764301,59.8874697,4.379492221,0.689434262,59.75471851,2.635440346,1.093374991,59.44533035,5.899956812,0.949433313,59.76377417,6.975995162,1.223369479,60.13874643,5.97254122,0.691648377,60.08185941,6.396076121,0.739473061,60.36795186,1.14508488,0.951580655,60.39065399,6.41888699,0.939234047,61.06449471,6.854720362,0.738817112,60.16447799,6.397391714,1.163719647,60.45960596,4.324181229,0.623999954,60.40995334,2.625905103,1.400256273,60.82059244,5.910173679,1.113448098,60.21603871,6.936588936
-1.482154,1.583494634,59.79287814,1.473314625,1.05426481,59.94034985,6.493436205,0.329771686,59.25148937,6.638934821,0.766521654,60.03565879,6.422682829,1.027763538,59.88978457,4.382203806,0.66695297,59.75288713,2.641177823,1.090856976,59.44683516,5.901735188,0.940261314,59.76795618,6.983949234,1.218044559,60.14125835,5.974434179,0.688495427,60.08552867,6.400834454,0.741140982,60.36982122,1.14482781,0.947958964,60.39491237,6.420824747,0.925768966,61.06357463,6.854166259,0.735515783,60.16823953,6.401504487,1.169339186,60.4589208,4.324516015,0.630576542,60.41290413,2.625188071,1.392583611,60.824283,5.913032874,1.096809696,60.21391149,6.939485431
-1.478817,1.565872034,59.78840869,1.484297112,1.052985601,59.94498034,6.497172136,0.327198892,59.25288162,6.637855046,0.764629165,60.03952312,6.427903195,1.022609861,59.89211231,4.384551161,0.643927336,59.7516037,2.646980096,1.088500604,59.4480866,5.903078972,0.930815354,59.77251114,6.992311322,1.212930952,60.14348177,5.97605238,0.686383777,60.08917139,6.406335694,0.742891747,60.37130857,1.144188396,0.945530551,60.39901803,6.422985681,0.91244798,61.06230051,6.853266197,0.733288109,60.17195078,6.406265479,1.175570606,60.45806502,4.32465006,0.638222451,60.41585564,2.624128612,1.385215987,60.82764273,5.915694044,1.079594872,60.21131964,6.942100936
